ent_id,unique_id,st_code,dist_code,sbd_code,ent_type,name,dem_class,ivlg_count,uvlg_count,town_count,hhld_count,total_pop,male_count,female_count,area_sqkm,pop_per_sqkm_old,pop_per_sqkm_new
1021401180,1021401180T,10,214,01180,SUB-DISTRICT,Banma Itahri,TOTAL,18,0,0,17865,90943,47726,43217,65.04554807675504,1398.0,1398.1433424572801
1021401180,1021401180R,10,214,01180,SUB-DISTRICT,Banma Itahri,RURAL,18,0,0,17865,90943,47726,43217,65.04554807675504,1398.0,1398.1433424572801
1021401180,1021401180U,10,214,01180,SUB-DISTRICT,Banma Itahri,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021500000,1021500000T,10,215,00000,DISTRICT,Darbhanga,TOTAL,1069,178,4,803012,3937385,2059949,1877436,2279.0,1728.0,1727.681000438789
1021500000,1021500000R,10,215,00000,DISTRICT,Darbhanga,RURAL,1069,178,0,729100,3554057,1858545,1695512,2211.47,1607.0,1607.1016111455278
1021500000,1021500000U,10,215,00000,DISTRICT,Darbhanga,URBAN,0,0,4,73912,383328,201404,181924,67.53,5676.0,5676.410484229232
1021501181,1021501181T,10,215,01181,SUB-DISTRICT,Jale,TOTAL,58,2,0,53888,264248,136448,127800,174.4418945027382,1515.0,1514.8195951050745
1021501181,1021501181R,10,215,01181,SUB-DISTRICT,Jale,RURAL,58,2,0,53888,264248,136448,127800,174.4418945027382,1515.0,1514.8195951050745
1021501181,1021501181U,10,215,01181,SUB-DISTRICT,Jale,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021501182,1021501182T,10,215,01182,SUB-DISTRICT,Singhwara,TOTAL,87,13,0,54126,267601,138285,129316,158.14324561015007,1692.0,1692.1430881700876
1021501182,1021501182R,10,215,01182,SUB-DISTRICT,Singhwara,RURAL,87,13,0,54126,267601,138285,129316,158.14324561015007,1692.0,1692.1430881700876
1021501182,1021501182U,10,215,01182,SUB-DISTRICT,Singhwara,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021501183,1021501183T,10,215,01183,SUB-DISTRICT,Keotiranway,TOTAL,96,14,0,57428,270722,142147,128575,134.2864884963327,2016.0,2016.003270555349
1021501183,1021501183R,10,215,01183,SUB-DISTRICT,Keotiranway,RURAL,96,14,0,57428,270722,142147,128575,134.2864884963327,2016.0,2016.003270555349
1021501183,1021501183U,10,215,01183,SUB-DISTRICT,Keotiranway,URBAN,0,0,0,0,0,0,0,0.0,0.0,0.0
1021501184,1021501184T,10,215,01184,SUB-DISTRICT,Darbhanga,TOTAL,106,30,2,112980,577036,304059,272977,196.17973266592307,2941.0,2941.3639837232413
1021501184,1021501184R,10,215,01184,SUB-DISTRICT,Darbhanga,RURAL,106,30,0,55025,273431,144391,129040,175.70973266592307,1556.0,1556.1517045835724
1021501184,1021501184U,10,215,01184,SUB-DISTRICT,Darbhanga,URBAN,0,0,2,57955,303605,159668,143937,20.47,14832.0,14831.70493404983
1021501185,1021501185T,10,215,01185,SUB-DISTRICT,Manigachhi,TOTAL,42,5,0,47088,228618,118772,109846,122.29189372221677,1869.0,1869.4452513696497
